"actor","text","season","episode","title"
"In this episode","Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.","01","01","Winter is Coming"
"WAYMAR ROYCE","What d’you expect? They’re savages. One lot steals a goat from another lot and before you know it, they’re ripping each other to pieces.","01","01","Winter is Coming"
"WILL","I’ve never seen wildlings do a thing like this. I’ve never seen a thing like this, not ever in my life.","01","01","Winter is Coming"
"WAYMAR ROYCE","How close did you get?","01","01","Winter is Coming"
"WILL","Close as any man would.","01","01","Winter is Coming"
"GARED","We should head back to the wall.","01","01","Winter is Coming"
"ROYCE","Do the dead frighten you?","01","01","Winter is Coming"
"GARED","Our orders were to track the wildlings. We tracked them. They won’t trouble us no more.","01","01","Winter is Coming"
"ROYCE","You don’t think he’ll ask us how they died? Get back on your horse.","01","01","Winter is Coming"
"WILL","Whatever did it to them could do it to us. They even k*ll the children.","01","01","Winter is Coming"
"ROYCE","It’s a good thing we’re not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don’t catch you first. Get back on your horse. I won’t say it again.","01","01","Winter is Coming"
"ROYCE","Your dead men seem to have moved camp.","01","01","Winter is Coming"
"WILL","They were here.","01","01","Winter is Coming"
"GARED","See where they went.","01","01","Winter is Coming"
"ROYCE","What is it?","01","01","Winter is Coming"
"GARED","It’s …","01","01","Winter is Coming"
"JON","Go on. Father’s watching.","01","01","Winter is Coming"
"JON","And your mother.","01","01","Winter is Coming"
"SEPTA MORDANE (to SANSA)","Fine work, as always. Well done.","01","01","Winter is Coming"
"SANSA","Thank you.","01","01","Winter is Coming"
"SEPTA MORDANE","I love the detail that you’ve managed to get in this corners. … Quite beautiful … the stitching …","01","01","Winter is Coming"
"NED","And which one of you was a marksman at ten? Keep practicing, Bran. Go on.","01","01","Winter is Coming"
"JON","Don’t think too much, Bran.","01","01","Winter is Coming"
"ROBB","Relax your bow arm.","01","01","Winter is Coming"
"JON/ROBB","Quick, Bran, faster!","01","01","Winter is Coming"
"CASSEL","Lord Stark. My lady. A guardsman just rode in from the hills. They’ve captured a deserter from the Night’s Watch.","01","01","Winter is Coming"
"NED","Get the lads to saddle their horses.","01","01","Winter is Coming"
"CATELYN","Do you have to?","01","01","Winter is Coming"
"NED","He swore an oath, Cat.","01","01","Winter is Coming"
"CASSEL","The law is law, my lady.","01","01","Winter is Coming"
"NED","Tell Bran he’s coming, too.","01","01","Winter is Coming"
"CATELYN","Ned. Ten is too young to see such things.","01","01","Winter is Coming"
